date,amount,total,countDeadAvg7days
2021-02-21T00:00:00.000Z,25,5592,29.0
2021-02-22T00:00:00.000Z,15,5607,27.0
2021-02-23T00:00:00.000Z,35,5642,27.0
2021-02-24T00:00:00.000Z,27,5669,26.0
2021-02-25T00:00:00.000Z,23,5692,26.0
2021-02-26T00:00:00.000Z,22,5714,24.0
2021-02-27T00:00:00.000Z,30,5744,24.0
2021-02-28T00:00:00.000Z,21,5765,25.0
2021-03-01T00:00:00.000Z,18,5783,24.0
2021-03-02T00:00:00.000Z,21,5804,25.0
2021-03-03T00:00:00.000Z,17,5821,23.0
2021-03-04T00:00:00.000Z,17,5838,21.0
2021-03-05T00:00:00.000Z,18,5856,20.0
2021-03-06T00:00:00.000Z,20,5876,20.0
2021-03-07T00:00:00.000Z,16,5892,18.0
2021-03-08T00:00:00.000Z,21,5913,18.0
2021-03-09T00:00:00.000Z,15,5928,18.0
2021-03-10T00:00:00.000Z,17,5945,17.0
2021-03-11T00:00:00.000Z,18,5963,17.0
2021-03-12T00:00:00.000Z,12,5975,17.0
2021-03-13T00:00:00.000Z,16,5991,17.0
2021-03-14T00:00:00.000Z,26,6017,16.0
2021-03-15T00:00:00.000Z,17,6034,17.0
2021-03-16T00:00:00.000Z,16,6050,17.0
2021-03-17T00:00:00.000Z,14,6064,17.0
2021-03-18T00:00:00.000Z,9,6073,17.0
2021-03-19T00:00:00.000Z,12,6085,15.0
2021-03-20T00:00:00.000Z,7,6092,15.0
2021-03-21T00:00:00.000Z,14,6106,14.0
2021-03-22T00:00:00.000Z,13,6119,12.0
2021-03-23T00:00:00.000Z,14,6133,12.0
2021-03-24T00:00:00.000Z,10,6143,11.0
2021-03-25T00:00:00.000Z,9,6152,11.0
2021-03-26T00:00:00.000Z,11,6163,11.0
2021-03-27T00:00:00.000Z,6,6169,11.0
2021-03-28T00:00:00.000Z,13,6182,11.0
2021-03-29T00:00:00.000Z,11,6193,10.0
2021-03-30T00:00:00.000Z,13,6206,10.0
2021-03-31T00:00:00.000Z,14,6220,10.0
2021-04-01T00:00:00.000Z,8,6228,11.0
2021-04-02T00:00:00.000Z,15,6243,10.0
2021-04-03T00:00:00.000Z,7,6250,11.0
2021-04-04T00:00:00.000Z,8,6258,11.0
2021-04-05T00:00:00.000Z,6,6264,10.0
2021-04-06T00:00:00.000Z,8,6272,10.0
2021-04-07T00:00:00.000Z,9,6281,9.0
2021-04-08T00:00:00.000Z,9,6290,8.0
2021-04-09T00:00:00.000Z,10,6300,8.0
2021-04-10T00:00:00.000Z,9,6309,8.0
2021-04-11T00:00:00.000Z,6,6315,8.0
2021-04-12T00:00:00.000Z,6,6321,8.0
2021-04-13T00:00:00.000Z,13,6334,8.0
2021-04-14T00:00:00.000Z,3,6337,8.0
2021-04-15T00:00:00.000Z,3,6340,8.0
2021-04-16T00:00:00.000Z,5,6345,7.0
2021-04-17T00:00:00.000Z,7,6352,6.0
2021-04-18T00:00:00.000Z,4,6356,6.0
2021-04-19T00:00:00.000Z,3,6359,5.0
2021-04-20T00:00:00.000Z,4,6363,5.0
2021-04-21T00:00:00.000Z,2,6365,4.0
2021-04-22T00:00:00.000Z,2,6367,4.0
2021-04-23T00:00:00.000Z,5,6372,3.0
2021-04-24T00:00:00.000Z,4,6376,3.0
2021-04-25T00:00:00.000Z,1,6377,3.0
2021-04-26T00:00:00.000Z,3,6380,3.0
2021-04-27T00:00:00.000Z,6,6386,3.0
2021-04-28T00:00:00.000Z,0,6386,3.0
2021-04-29T00:00:00.000Z,2,6388,3.0
2021-04-30T00:00:00.000Z,2,6390,3.0
2021-05-01T00:00:00.000Z,2,6392,2.0
2021-05-02T00:00:00.000Z,1,6393,2.0
2021-05-03T00:00:00.000Z,3,6396,2.0
2021-05-04T00:00:00.000Z,2,6398,2.0
2021-05-05T00:00:00.000Z,2,6400,1.0
2021-05-06T00:00:00.000Z,2,6402,2.0
2021-05-07T00:00:00.000Z,2,6404,2.0
2021-05-08T00:00:00.000Z,1,6405,2.0
2021-05-09T00:00:00.000Z,1,6406,1.0
2021-05-10T00:00:00.000Z,2,6408,1.0
2021-05-11T00:00:00.000Z,1,6409,1.0
2021-05-12T00:00:00.000Z,1,6410,1.0
2021-05-13T00:00:00.000Z,2,6412,1.0
2021-05-14T00:00:00.000Z,0,6412,1.0
2021-05-15T00:00:00.000Z,1,6413,1.0
2021-05-16T00:00:00.000Z,1,6414,1.0
2021-05-17T00:00:00.000Z,3,6417,1.0
2021-05-18T00:00:00.000Z,0,6417,1.0
2021-05-19T00:00:00.000Z,1,6418,1.0
2021-05-20T00:00:00.000Z,0,6418,1.0
2021-05-21T00:00:00.000Z,2,6420,0.0
2021-05-22T00:00:00.000Z,0,6420,1.0
2021-05-23T00:00:00.000Z,1,6421,1.0
2021-05-24T00:00:00.000Z,1,6422,1.0
2021-05-25T00:00:00.000Z,1,6423,0.0
2021-05-26T00:00:00.000Z,0,6423,0.0
2021-05-27T00:00:00.000Z,2,6425,0.0
2021-05-28T00:00:00.000Z,1,6426,1.0
2021-05-29T00:00:00.000Z,0,6426,0.0
2021-05-30T00:00:00.000Z,0,6426,0.0
2021-05-31T00:00:00.000Z,0,6426,0.0
2021-06-01T00:00:00.000Z,2,6428,0.0
2021-06-02T00:00:00.000Z,0,6428,0.0
2021-06-03T00:00:00.000Z,1,6429,0.0
2021-06-04T00:00:00.000Z,0,6429,0.0
2021-06-05T00:00:00.000Z,1,6430,0.0
2021-06-06T00:00:00.000Z,0,6430,0.0
2021-06-07T00:00:00.000Z,1,6431,0.0
2021-06-08T00:00:00.000Z,1,6432,0.0
2021-06-09T00:00:00.000Z,1,6433,0.0
2021-06-10T00:00:00.000Z,0,6433,0.0
2021-06-11T00:00:00.000Z,0,6433,0.0
2021-06-12T00:00:00.000Z,0,6433,0.0
2021-06-13T00:00:00.000Z,1,6434,0.0
2021-06-14T00:00:00.000Z,0,6434,0.0
2021-06-15T00:00:00.000Z,0,6434,0.0
2021-06-16T00:00:00.000Z,1,6435,0.0
2021-06-17T00:00:00.000Z,0,6435,0.0
2021-06-18T00:00:00.000Z,0,6435,0.0
2021-06-19T00:00:00.000Z,1,6436,0.0
2021-06-20T00:00:00.000Z,0,6436,0.0
2021-06-21T00:00:00.000Z,0,6436,0.0
2021-06-22T00:00:00.000Z,0,6436,0.0
2021-06-23T00:00:00.000Z,0,6436,0.0
2021-06-24T00:00:00.000Z,0,6436,0.0
2021-06-25T00:00:00.000Z,1,6437,0.0
2021-06-26T00:00:00.000Z,0,6437,0.0
2021-06-27T00:00:00.000Z,0,6437,0.0
2021-06-28T00:00:00.000Z,0,6437,0.0
2021-06-29T00:00:00.000Z,0,6437,0.0
2021-06-30T00:00:00.000Z,0,6437,0.0
2021-07-01T00:00:00.000Z,0,6437,0.0
2021-07-02T00:00:00.000Z,0,6437,0.0
2021-07-03T00:00:00.000Z,0,6437,0.0
2021-07-04T00:00:00.000Z,0,6437,0.0
2021-07-05T00:00:00.000Z,0,6437,0.0
2021-07-06T00:00:00.000Z,0,6437,0.0
2021-07-07T00:00:00.000Z,1,6438,0.0
2021-07-08T00:00:00.000Z,2,6440,0.0
2021-07-09T00:00:00.000Z,0,6440,0.0
2021-07-10T00:00:00.000Z,2,6442,0.0
2021-07-11T00:00:00.000Z,3,6445,0.0
2021-07-12T00:00:00.000Z,2,6447,1.0
2021-07-13T00:00:00.000Z,0,6447,1.0
2021-07-14T00:00:00.000Z,3,6450,1.0
2021-07-15T00:00:00.000Z,1,6451,1.0
2021-07-16T00:00:00.000Z,1,6452,1.0
2021-07-17T00:00:00.000Z,2,6454,1.0
2021-07-18T00:00:00.000Z,3,6457,1.0
2021-07-19T00:00:00.000Z,2,6459,1.0
2021-07-20T00:00:00.000Z,2,6461,1.0
2021-07-21T00:00:00.000Z,3,6464,2.0
2021-07-22T00:00:00.000Z,1,6465,2.0
2021-07-23T00:00:00.000Z,0,6465,2.0
